GEOID,sovi,rank,fema_region
g13033,0.5687420718713486,276.0,FEMA_4
g13035,-1.8484417789211909,599.0,FEMA_4
g13037,6.672174827342558,12.0,FEMA_4
g13039,-2.733984815294703,651.0,FEMA_4
g13043,3.197540685092428,64.0,FEMA_4
g13045,-2.7570636949269516,652.0,FEMA_4
g13047,-3.2015016106172594,673.0,FEMA_4
g13049,0.870323558213441,242.0,FEMA_4
g13051,-0.5550685826617476,435.0,FEMA_4
g13053,-1.4947166908116662,559.0,FEMA_4
g13055,-0.12217173219393873,374.0,FEMA_4
g13057,-5.720274790679472,723.0,FEMA_4
g13059,1.184647878564756,198.0,FEMA_4
g13061,7.894786118099249,7.0,FEMA_4
g13063,0.5746217479900834,275.0,FEMA_4
g13065,2.191374920268729,119.0,FEMA_4
g13067,-3.3976813076768244,681.0,FEMA_4
g13069,-0.06788218586977635,366.0,FEMA_4
g13071,0.6911986049736862,261.0,FEMA_4
g13073,-5.710418431041315,722.0,FEMA_4
g13075,-0.6519556156153967,450.0,FEMA_4
g13077,-4.781163670609418,711.0,FEMA_4
g13079,-1.7057601666600704,587.0,FEMA_4
g13081,1.1122229774274217,208.0,FEMA_4
g13083,-2.3601079033919605,632.0,FEMA_4
g13085,-3.8979749752475485,695.0,FEMA_4
g13087,1.90410511521508,139.0,FEMA_4
g13089,-0.33202126390071496,402.0,FEMA_4
g13091,1.087553555657495,211.0,FEMA_4
g13093,1.0371051051192297,224.0,FEMA_4
g13095,0.8060248240150856,252.0,FEMA_4
g13097,-4.700364020523393,709.0,FEMA_4
g13099,1.1018854669715763,209.0,FEMA_4
g13101,3.884922303431173,43.0,FEMA_4
g13103,-5.867053106866626,727.0,FEMA_4
g13105,1.2478899472581728,192.0,FEMA_4
g13107,1.6930728309044636,150.0,FEMA_4
g13109,-0.4366280301806772,416.0,FEMA_4
g13111,1.141466779388929,204.0,FEMA_4
g13113,-7.134536367253009,733.0,FEMA_4
g13115,0.4641870762755721,288.0,FEMA_4
g13117,-7.138147488805206,734.0,FEMA_4
g13119,0.4493468526985816,289.0,FEMA_4
g13121,-2.327170496464742,627.0,FEMA_4
g13123,0.7962945235363259,253.0,FEMA_4
g13125,1.6119336573245666,157.0,FEMA_4
g13127,0.18919075847073819,328.0,FEMA_4
g13129,-1.0437932300890052,498.0,FEMA_4
g13131,0.36715295476295867,301.0,FEMA_4
g13133,2.2478701228860594,117.0,FEMA_4
g13135,-1.8407359747769438,598.0,FEMA_4
g13137,-0.8818609008372024,482.0,FEMA_4
g13139,-0.15855644436624933,376.0,FEMA_4
g13141,6.592740388170518,13.0,FEMA_4
g13143,-1.3052197041853955,537.0,FEMA_4
g13145,-7.027364566171472,732.0,FEMA_4
g13147,0.6737956792185338,264.0,FEMA_4
g13149,-1.7124591464658059,588.0,FEMA_4
g13151,-5.305400137131763,716.0,FEMA_4
g13153,-3.260800013690744,675.0,FEMA_4
g13155,0.1543613046649394,334.0,FEMA_4
g13157,-3.6932399814554513,689.0,FEMA_4
g13159,-1.9743783230136824,606.0,FEMA_4
g13161,-0.9560102594107965,487.0,FEMA_4
g13163,1.9344784488032687,135.0,FEMA_4
g13165,0.8510354940045395,245.0,FEMA_4
g13167,1.3914274227823833,179.0,FEMA_4
g13169,-4.53448358494543,708.0,FEMA_4
g13171,-1.9254179198898131,602.0,FEMA_4
g13173,0.3084672571698129,310.0,FEMA_4
g13175,0.27113771462260017,315.0,FEMA_4
g13177,-6.769067307096568,731.0,FEMA_4
g13179,-2.1036249353734577,614.0,FEMA_4
g13181,2.471177500203787,100.0,FEMA_4
g13183,-0.20226311958046161,380.0,FEMA_4
g13185,-1.5517878777540848,567.0,FEMA_4
g13187,-2.430754688516233,637.0,FEMA_4
g13189,-0.4163561237379466,414.0,FEMA_4
g13191,-0.6196673485400452,443.0,FEMA_4
g13193,1.8398783462587938,143.0,FEMA_4
g13195,-2.1309840649171115,615.0,FEMA_4
g13197,1.6454721842070854,152.0,FEMA_4
g13199,-0.8188587832019049,471.0,FEMA_4
g13201,1.0766161043289784,214.0,FEMA_4
g13205,0.6699108850938338,265.0,FEMA_4
g13207,-2.955583211484142,661.0,FEMA_4
g13209,-1.0796195441391438,504.0,FEMA_4
g13211,-2.6631591379912614,644.0,FEMA_4
g13213,-1.5333483601707645,564.0,FEMA_4
g13215,0.6297587093810655,270.0,FEMA_4
g13217,-4.246712736971914,701.0,FEMA_4
g13219,-6.710974567950809,730.0,FEMA_4
g13221,-3.3459684964146357,677.0,FEMA_4
g13223,-6.340683576203114,729.0,FEMA_4
g13225,-1.4097861081281164,549.0,FEMA_4
g13227,-2.530198627089743,641.0,FEMA_4
g13229,-0.20238010611267543,381.0,FEMA_4
g13231,-5.592307208534422,721.0,FEMA_4
g13233,0.26926843997578975,316.0,FEMA_4
g13235,2.41910421207954,108.0,FEMA_4
g13237,0.20010505456304298,325.0,FEMA_4
g13239,1.4236120416233315,177.0,FEMA_4
g13241,2.907053376850635,75.0,FEMA_4
g13243,2.3941933584320836,110.0,FEMA_4
g13245,0.9124025770153078,237.0,FEMA_4
g13247,-2.953710523718253,660.0,FEMA_4
g13249,-2.5787090015794276,643.0,FEMA_4
g13251,-0.5010254323899359,426.0,FEMA_4
g13253,1.469837042227212,173.0,FEMA_4
g13255,-0.5701043053520662,437.0,FEMA_4
g13257,-0.016711854483857813,357.0,FEMA_4
g13259,6.21601515159015,18.0,FEMA_4
g13261,2.5180074304652917,98.0,FEMA_4
g13263,-0.01959070155798867,358.0,FEMA_4
g13265,4.501667927773519,30.0,FEMA_4
g13267,2.0115427278739135,132.0,FEMA_4
g13269,1.3658427078538946,182.0,FEMA_4
g13271,8.088374461192357,6.0,FEMA_4
g13273,2.419554085132639,107.0,FEMA_4
g13275,0.7865078612962768,254.0,FEMA_4
g13277,-0.0010180853763634146,355.0,FEMA_4
g13279,1.9684707073711252,133.0,FEMA_4
g13281,2.9997298009162656,72.0,FEMA_4
g13283,1.116206483297428,207.0,FEMA_4
g13285,-0.8561518176758849,477.0,FEMA_4
