GEOID,sovi,rank
g17097,-4.815564923315277,3007.0
g17099,-0.1693054207024155,1684.0
g17101,-2.8622892508040247,2725.0
g17103,-0.6926166707844618,1966.0
g17105,-1.107432733964276,2159.0
g17107,1.2113029791181047,925.0
g17109,-0.48800803091127354,1865.0
g17111,-5.3266381221381485,3043.0
g17113,-2.9895148275479038,2750.0
g17115,0.9614459322825781,1048.0
g17117,0.040992238113163104,1558.0
g17119,-1.145791772526336,2178.0
g17121,1.5124360261811103,805.0
g17123,0.5642486606215062,1267.0
g17125,0.7435495727644004,1167.0
g17127,2.2333570839676327,510.0
g17129,-0.7767749110071118,2008.0
g17131,-1.1182407308544748,2164.0
g17133,-4.000357068022892,2933.0
g17135,1.0094945635934613,1029.0
g17137,1.0778524178080604,993.0
g17139,-0.31466909445637214,1769.0
g17141,-1.4524241570523655,2310.0
g17143,-0.4016512698858228,1821.0
g17145,-1.5526117700334994,2343.0
g17147,-2.727607925804748,2692.0
g17149,1.7013301494699598,723.0
g17151,3.3891944539856143,269.0
g17153,3.1495806305042326,310.0
g17155,-2.3137445452692575,2579.0
g17157,-2.110095686881624,2528.0
g17159,-0.23963753682740735,1721.0
g17161,1.1417318314958982,968.0
g17163,0.30917629665489255,1414.0
g17165,1.8090069043626356,671.0
g17167,-0.7968306914214973,2014.0
g17169,-1.4741168812826289,2317.0
g17171,-0.4814775056421242,1863.0
g17173,-0.6660655470837122,1950.0
g17175,-0.029309013720873467,1591.0
g17177,1.9720896163064647,600.0
g17179,-1.7872233274416156,2430.0
g17181,1.4615233013214097,819.0
g17183,1.5280409566560478,798.0
g17185,-0.0075124742422623125,1582.0
g17187,2.778393048489913,376.0
g17189,-1.946510059706925,2475.0
g17191,-0.7336132956517261,1988.0
g17193,2.6111482824750443,413.0
g17195,0.764111066663542,1157.0
g17197,-4.732887267924568,3002.0
g17199,0.9246404934712685,1064.0
g17201,0.6508552989608738,1220.0
g17203,-2.9035146333672217,2735.0
g18001,-0.27127055134218536,1744.0
g18003,-1.1224515437148082,2166.0
g18005,-2.3739353234914633,2591.0
g18007,0.06708799839545276,1547.0
g18009,0.974401968133559,1041.0
g18011,-5.680803233004733,3063.0
g18013,-0.31535279503329394,1770.0
g18015,-1.5691185280470101,2349.0
g18017,0.7392452869152946,1171.0
g18019,-0.7173266329889796,1982.0
g18021,-0.3046021565583883,1762.0
g18023,0.810790291938807,1132.0
g18025,-0.8555082212249208,2049.0
g18027,-0.6715093927626672,1953.0
g18029,-2.998788384271703,2754.0
g18031,-1.4197266636307893,2296.0
g18033,-2.5682456803456994,2646.0
g18035,1.8322718403928173,655.0
g18037,-2.6531838524008444,2676.0
g18039,-0.8726869498710723,2056.0
